Timestamp,Symbol,State,Price,RNAI,Action
1777817068.3282266,0,0,1.100000023841858,0.5,TEST_ACTION: Signal Core Detected
1777817261.4331963,0,0,1.100000023841858,0.5,TEST_ACTION: Signal Core Detected
1777820320.2334673,0,0,1.100000023841858,0.5,TEST_ACTION: Bi-directional Engine Verified
1777822633.9436598,0,0,1.100000023841858,0.5,TEST_ACTION: Bi-directional Engine Verified
1777823048.4361894,0,0,1.100000023841858,0.5,TEST_ACTION: Bi-directional Engine Verified
1777823437.0328443,0,0,1.100000023841858,0.5,TEST_ACTION: Bi-directional Engine Verified
1777823876.9779084,0,1,1.1721099615097046,-1.3655837774276733,FSM_0: Initialized to IDLE
1777823876.9779363,1,1,1.3575700521469116,-1.392813801765442,FSM_1: Initialized to IDLE
1777823876.9779449,2,1,157.08399963378906,-1.539813756942749,FSM_2: Initialized to IDLE
1777823876.9779525,3,1,1.3593699932098389,-1.436713695526123,FSM_3: Initialized to IDLE
1777823876.9779592,4,1,0.720300018787384,-1.3776137828826904,FSM_4: Initialized to IDLE
1777823876.9779654,5,1,0.5896900296211243,-1.4162538051605225,FSM_5: Initialized to IDLE
1777823876.9779718,6,1,0.7819100022315979,-1.4683938026428223,FSM_6: Initialized to IDLE
1777823876.9779775,7,1,184.1439971923828,9.997186660766602,FSM_7: Initialized to IDLE
1777823877.1517506,7,2,184.1439971923828,9.997186660766602,FSM_7: LONG_LOCKED at 184.1439971923828. Moving to ARMED.
1777839201.682236,0,1,1.1721099615097046,-1.3655837774276733,FSM_0: Initialized to IDLE
1777839201.68227,1,1,1.3575700521469116,-1.392813801765442,FSM_1: Initialized to IDLE
1777839201.682282,2,1,157.08399963378906,-1.539813756942749,FSM_2: Initialized to IDLE
1777839201.6822908,3,1,1.3593699932098389,-1.436713695526123,FSM_3: Initialized to IDLE
1777839201.6822994,4,1,0.720300018787384,-1.3776137828826904,FSM_4: Initialized to IDLE
1777839201.6823082,5,1,0.5896900296211243,-1.4162538051605225,FSM_5: Initialized to IDLE
1777839201.6823165,6,1,0.7819100022315979,-1.4683938026428223,FSM_6: Initialized to IDLE
1777839201.682325,7,1,184.1439971923828,9.997186660766602,FSM_7: Initialized to IDLE
1777839201.80166,7,2,184.1439971923828,9.997186660766602,FSM_7: LONG_LOCKED at 184.1439971923828. Moving to ARMED.
1777844795.9395072,0,0,1.100000023841858,0.5,TEST_ACTION: Bi-directional Engine Verified
1777845158.35826,0,1,1.174340009689331,-0.004492499865591526,FSM_0: Initialized to IDLE
1777845158.461061,1,1,1.3604700565338135,-0.004572500009089708,FSM_1: Initialized to IDLE
1777845158.5723782,2,1,156.6959991455078,0.011527500115334988,FSM_2: Initialized to IDLE
1777845158.6606936,3,1,1.3586399555206299,-0.005272500216960907,FSM_3: Initialized to IDLE
1777845158.7549603,4,1,0.7217599749565125,-0.004812499973922968,FSM_4: Initialized to IDLE
1777845158.8432393,5,1,0.5913800001144409,-0.004432499874383211,FSM_5: Initialized to IDLE
1777845158.9356887,6,1,0.7823799848556519,-0.004472500178962946,FSM_6: Initialized to IDLE
1777845159.0272524,7,1,184.05799865722656,0.01652750000357628,FSM_7: Initialized to IDLE
1777845343.2433853,2,2,156.77099609375,1.0073912143707275,FSM_2: LONG_LOCKED at 156.77100. SL: 156.69698
1777845343.4587061,2,1,156.76199340820312,0.9675862789154053,FSM_2: ARMED signal lost. Resetting to IDLE.
1777845347.1237993,2,2,156.75399780273438,1.0098425149917603,FSM_2: LONG_LOCKED at 156.77100. SL: 156.69698
1777845347.2841194,2,1,156.75399780273438,0.9999675154685974,FSM_2: ARMED signal lost. Resetting to IDLE.
